model,quantization,size,size_in_memory,parameters,max_ram
Mistral-7b-v0.1,None,14.48,13.49,7240000,None
Mistral-7b-v0.1,q3_k,3.52,3.28,7240000,6.02
Mistral-7b-v0.1,q4_k,4.37,4.07,7240000,6.87
Mistral-7b-v0.1,q4_0,4.11,3.83,7240000,6.61
Mistral-7b-v0.1,AWQ,4.15,4.47,7240000,None
Mistral-7b-v0.1,GPTQ,4.16,4.47,7240000,None
Llama-2-7b,None,13.5,12.55,6740000,None
Llama-2-7b,q3_k,3.30,3.07,6740000,5.80
Llama-2-7b,q4_k,4.08,3.80,6740000,6.58
Llama-2-7b,q4_0,3.83,3.56,6740000,6.33
Llama-2-7b,AWQ,3.89,3.82,6740000,None
Llama-2-7b,GPTQ,3.90,3.82,6740000,None
Llama-2-13b,None,26.03,25.03,13000000,None
Llama-2-13b,q4_k,7.87,7.33,13000000,10.37
Llama-2-13b,AWQ,7.25,7.08,13000000,None
Llama-2-13b,GPTQ,7.26,7.09,13000000,None
TinyLlama-1.1B-v0.5,None,4.4,4.10,1100000,None
TinyLlama-1.1B-v0.5,q3_k,0.55,0.52,1100000,3.05
TinyLlama-1.1B-v0.5,q4_k,0.67,0.63,1100000,3.17
TinyLlama-1.1B-v0.5,q4_0,0.64,0.60,1100000,3.14
Zephyr-3b,None,5.59,5.37,2800000,None
Zephyr-3b,q3_k,1.39,1.29,2800000,3.89
Zephyr-3b,q4_k,1.71,1.59,2800000,4.21
Zephyr-3b,q4_0,1.61,1.50,2800000,4.11
Zephyr-3b,GPTQ,1.84,1.76,2800000,None
gemma-7b,None,17.07,17.07,8540000,None
gemma-7b,q3_k,4.06,4.06,8540000,None
gemma-7b,q4_k,4.96,4.96,8540000,None
gemma-7b,q4_0,4.66,4.66,8540000,None
gemma-2b,None,4.95,4.95,2510000,None
gemma-2b,q3_k,1.28,1.28,2510000,None
gemma-2b,q4_k,1.51,1.51,2510000,None
gemma-2b,q4_0,1.44,1.44,2510000,None
